time,open,high,low,close,volumeto,coin
2024-01-21,2472.02,2482.18,2452.13,2457.05,122572.1687,eth
2024-01-22,2457.06,2466.1,2303.59,2314.2,526337.6492,eth
2024-01-23,2314.19,2352.23,2168.07,2242.6,700105.3314,eth
2024-01-24,2242.6,2264.6,2196.12,2235.02,359851.1496,eth
2024-01-25,2235.02,2242.89,2171.3,2218.64,330426.6061,eth
2024-01-26,2218.64,2282.36,2195.84,2267.68,363566.4255,eth
2024-01-27,2267.67,2282.94,2251.4,2267.94,145109.3836,eth
2024-01-28,2267.94,2308.24,2239.89,2256.9,209326.9087,eth
2024-01-29,2256.9,2322.34,2233.8,2317.6,305528.0776,eth
2024-01-30,2317.61,2391.98,2297.0,2343.01,372879.5791,eth
2024-01-31,2343.0,2351.6,2263.57,2283.14,397116.1859,eth
2024-02-01,2283.15,2311.72,2240.0,2304.28,310997.4538,eth
2024-02-02,2304.28,2324.74,2281.94,2309.06,238230.511,eth
2024-02-03,2309.07,2329.98,2292.75,2296.49,133232.845,eth
2024-02-04,2296.5,2311.0,2266.0,2289.79,171232.0444,eth
2024-02-05,2289.79,2338.41,2269.11,2301.83,236610.412,eth
2024-02-06,2301.84,2392.4,2299.0,2372.64,368942.7498,eth
2024-02-07,2372.63,2444.44,2354.0,2425.1,342791.7013,eth
2024-02-08,2425.09,2463.15,2411.01,2419.55,338040.0539,eth
2024-02-09,2419.56,2525.0,2419.16,2486.56,492384.385,eth
2024-02-10,2486.56,2516.45,2471.57,2500.24,185099.59,eth
2024-02-11,2500.24,2539.63,2493.45,2507.21,219975.1471,eth
2024-02-12,2507.22,2665.58,2472.0,2659.99,449501.776,eth
2024-02-13,2659.99,2686.12,2590.0,2639.99,502447.745,eth
2024-02-14,2639.99,2786.0,2618.4,2774.81,461670.6944,eth
2024-02-15,2774.8,2867.65,2759.25,2822.59,481689.1874,eth
2024-02-16,2822.58,2857.4,2740.0,2801.8,378070.8037,eth
2024-02-17,2801.81,2804.21,2719.01,2785.93,243302.8759,eth
2024-02-18,2785.92,2895.0,2764.25,2881.2,367987.8833,eth
2024-02-19,2881.2,2984.52,2856.93,2944.8,446451.0401,eth
2024-02-20,2944.8,3033.09,2874.56,3014.81,634681.7471,eth
2024-02-21,3014.81,3017.15,2868.0,2967.9,595955.0033,eth
2024-02-22,2967.91,3036.02,2906.51,2971.4,563525.9936,eth
2024-02-23,2971.4,2993.8,2906.05,2922.24,428826.5787,eth
2024-02-24,2922.25,3007.48,2906.4,2992.62,243854.0783,eth
2024-02-25,2992.62,3122.0,2983.61,3112.59,412306.2237,eth
2024-02-26,3112.6,3196.0,3036.59,3175.94,546722.7747,eth
2024-02-27,3175.95,3288.14,3160.02,3242.36,625939.1221,eth
2024-02-28,3242.35,3488.0,3176.16,3383.1,947538.766,eth
2024-02-29,3383.11,3522.81,3300.0,3340.09,759698.1123,eth
2024-03-01,3340.1,3450.0,3338.54,3433.43,412788.5773,eth
2024-03-02,3433.42,3460.04,3390.01,3421.4,283984.9448,eth
2024-03-03,3421.39,3491.8,3360.0,3487.81,341631.531,eth
2024-03-04,3487.8,3640.94,3423.78,3627.76,715360.6361,eth
2024-03-05,3627.75,3822.04,3200.0,3553.65,1392904.864,eth
2024-03-06,3553.66,3900.0,3499.4,3818.59,969494.71,eth
2024-03-07,3818.58,3933.81,3735.0,3868.76,540780.675,eth
2024-03-08,3868.76,3993.75,3820.0,3883.36,646399.2589,eth
2024-03-09,3883.37,3942.0,3870.01,3905.21,254839.1386,eth
2024-03-10,3905.2,3964.67,3791.26,3878.47,356664.68,eth
2024-03-11,3878.47,4086.23,3722.95,4064.8,721554.5139,eth
